,first_accuracy,first_wait,delayed,cancelled
875,236.0,113.0,0,0
876,-213.0,143.0,1,0
877,689.0,793.0,1,0
878,240.0,146.0,0,1
879,-24.0,110.0,0,0
880,,,0,0
881,-146.0,242.0,0,0
882,564.0,57.0,0,0
883,-1042.0,36.0,0,0
884,0.0,6602.0,0,0
885,-870.0,91.0,1,0
886,,,1,0
887,,,0,0
888,128.0,0.0,0,0
889,,,1,0
890,452.0,392.0,0,0
891,-173.0,122.0,0,0
892,,,0,0
893,-74.0,0.0,1,0
894,-122.0,0.0,0,0
895,1479.0,404.0,0,0
896,2602.0,2395.0,0,1
897,-93.0,235.0,0,0
898,-82.0,800.0,0,0
899,,,0,0
900,183.0,0.0,1,0
901,,,0,0
902,-608.0,1752.0,1,0
903,-4.0,1791.0,1,0
904,39.0,422.0,0,0
905,696.0,243.0,0,0
906,735.0,404.0,0,0
907,-139.0,224.0,0,0
908,-156.0,0.0,0,0
909,-127.0,0.0,1,0
910,-60.0,0.0,0,0
911,-465.0,0.0,0,0
912,-50.0,507.0,0,0
913,331.0,363.0,0,0
914,170.0,12.0,0,0
915,-6.0,542.0,0,0
916,10236.0,0.0,0,0
917,-294.0,1817.0,0,0
918,111.0,0.0,0,0
919,,,0,0
920,99.0,2347.0,0,0
921,-52.0,212.0,0,0
922,79.0,397.0,0,0
923,-124.0,358.0,0,0
924,,,1,0
925,-78.0,354.0,0,1
926,68.0,0.0,0,0
927,,,0,0
928,147.0,317.0,0,0
929,1265.0,400.0,0,0
930,445.0,501.0,0,0
931,29.0,204.0,1,0
932,-301.0,486.0,0,0
933,,,0,0
934,-49.0,555.0,0,0
935,-1153.0,458.0,0,0
936,47.0,2366.0,0,0
937,,,0,0
938,,,1,0
939,,,0,0
940,-74.0,0.0,0,0
941,134.0,0.0,0,0
942,2712.0,0.0,0,0
943,-3.0,45.0,0,0
944,496.0,387.0,0,0
945,426.0,1104.0,0,0
946,605.0,194.0,0,0
947,882.0,58.0,0,0
948,0.0,339.0,0,0
949,,,0,0
950,-257.0,3250.0,0,0
951,58.0,124.0,1,0
952,-358.0,1302.0,0,0
953,3385.0,2371.0,0,0
954,,,1,0
955,5.0,324.0,1,0
956,122.0,511.0,0,0
957,,,1,0
958,-271.0,301.0,0,0
959,19515.0,256.0,0,0
960,19515.0,256.0,0,0
961,,,0,0
962,-56.0,297.0,0,0
963,,,0,0
964,1.0,187.0,0,0
965,,,0,0
966,1091.0,0.0,0,0
967,3479.0,525.0,0,0
968,120.0,228.0,0,0
969,1395.0,421.0,1,0
970,-272.0,0.0,0,0
971,,,0,0
972,2365.0,28.0,0,0
973,-8.0,0.0,1,0
974,,,0,0
975,-67.0,51.0,0,0
976,,,0,0
977,,,1,0
978,,,0,0
979,-240.0,14927.0,0,0
980,,,0,0
981,128.0,280.0,1,0
982,,,0,0
983,-244.0,0.0,0,0
984,16.0,107.0,0,0
985,,,1,0
986,,,0,1
987,5502.0,366.0,1,0
988,141.0,3.0,0,0
989,-33.0,822.0,1,0
990,,,0,0
991,-38.0,309.0,1,0
992,167.0,585.0,0,0
993,8685.0,96.0,1,0
994,156.0,1794.0,1,0
995,,,0,0
996,5764.0,501.0,0,1
997,20.0,283.0,0,0
998,-56.0,0.0,0,0
999,36.0,141.0,0,0
1000,9.0,357.0,0,0
1001,,,1,0
1002,-80.0,0.0,0,0
1003,,,0,0
1004,5131.0,775.0,0,0
1005,-58.0,0.0,0,0
1006,-135.0,1042.0,0,0
1007,,,1,0
1008,-57.0,286.0,0,0
1009,,,0,0
1010,1.0,0.0,1,0
1011,-257.0,0.0,0,0
1012,100.0,969.0,1,0
1013,343.0,1339.0,0,0
1014,233.0,0.0,0,0
1015,-385.0,0.0,0,0
1016,,,0,0
1017,,,0,0
1018,-55.0,285.0,0,0
1019,386.0,0.0,0,0
1020,-23.0,388.0,0,0
1021,-66.0,195.0,0,0
1022,-12.0,0.0,0,0
